wgs	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
K05098: kinase insert domain protein receptor	0.003	0.02	0.178	0.233	0.442	0.389	<2e-16	5.88e-06	2.9e-14	2.94e-06	0.729	0.00525	NA	0.00014203	8.48839406207827e-14	6.29025659050967e-06	0.9956866689993	0.0463813497822932	0.466	0.548
K14575	0.048	0.073	0.074	0.132	0.089	0.278	0.404	0.606	0.447	0.919	0.155	0.202	0.42219057591623	0.891210920512201	0.477516497016497	0.943171977744057	0.9956866689993	0.461032620922385	0.026	0.095
K08305: membrane-bound lytic murein transglycosylase B	0.423	0.409	0.593	0.49	0.03	0.12	3.93e-06	0.13	0.00136	6.12e-05	0.742	0.0236	9.96731893265565e-06	0.313142065690542	0.00200249637155298	0.000115726747437092	0.9956866689993	0.121534010152284	0.152	0.323
K07489: transposase	0.622	0.564	0.69	0.649	0	0	1.3e-05	0.833	0.000138	0.000292	0.124	0.00794	3.00324074074074e-05	1	0.000221520569620253	0.000516837452747892	0.9956866689993	0.0598153217821782	0.145	0.355
K08303: putative protease	2.324	0.254	2.151	0.203	0.502	0.633	<2e-16	0.0281	1.67e-15	1.67e-15	0.82	0.489	NA	0.10223831440526	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.804253715212105	0.771	0.782
K02255: ferritin-like protein 2	0.167	0.305	0.185	0.287	0	0	0.019	0.954	0.0808	0.102	0.653	0.0401	0.0242016592214422	1	0.0960792342254347	0.124224489795918	0.9956866689993	0.170453002793296	0.053	0.229
K02154: V-type H+-transporting ATPase subunit I	0.277	0.227	0.443	0.348	0.295	0.453	0.0265	0.0204	0.97	0.228	0.302	0.202	0.0329763092269327	0.080948370273794	0.980632785251619	0.262648750946253	0.9956866689993	0.461032620922385	0.056	0.139
K03062: 26S proteasome regulatory subunit T2	0.092	0.22	0.162	0.278	0.5	0.558	5.23e-06	0.493	1.45e-06	0.000717	0.346	1	1.29920099564406e-05	0.792000791765637	2.64018845348489e-06	0.00120896925207756	0.9956866689993	1	0.169	0.169
K03828: putative acetyltransferase	0.698	0.476	0.722	0.531	0.105	0.382	2.39e-07	0.97	2.53e-05	0.00018	0.0984	0.00629	7.51842395587077e-07	1	4.28972423398329e-05	0.000325508021390374	0.9956866689993	0.0517395	0.19	0.427
K03829: putative acetyltransferase	0.442	0.427	0.418	0.478	0.089	0.355	4.16e-05	0.962	0.00786	0.0424	0.794	0.000388	8.75881856540084e-05	1	0.0107369434470377	0.0550883244397012	0.9956866689993	0.00834542756183746	0.115	0.415
K03820: apolipoprotein N-acyltransferase	0.951	0.436	0.789	0.454	0.124	0.338	6.74e-12	0.186	1.37e-10	6.58e-06	0.196	0.0235	5.19190751445087e-11	0.406966930265996	3.07719188191882e-10	1.3655799522673e-05	0.9956866689993	0.12153313508921	0.327	0.465
K03822: putative long chain acyl-CoA synthase	0.01	0.017	0.009	0.018	0	0	0.0892	0.991	0.0725	0.169	0.38	1	0.102264905226881	1	0.0866668303220738	0.198744783616692	0.9956866689993	1	0.039	0.039
K03823: acetyltransferase	1.787	0.432	1.65	0.607	0.099	0.396	<2e-16	0.357	1.67e-15	2.48e-14	0.177	1	NA	0.642726708074534	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	1	0.564	0.564
K03824: putative acetyltransferase	1.078	0.46	0.931	0.683	0	0	1.31e-11	0.341	4.88e-13	3.26e-08	0.396	1	9.20690140845070e-11	0.622949279711885	1.21839868744873e-12	8.03385425101215e-08	0.9956866689993	1	0.323	0.323
K03825: putative acetyltransferase	0.781	0.466	0.737	0.497	0.082	0.329	1.37e-07	0.893	2.55e-07	3.39e-05	0.164	0.327	4.51986776859504e-07	1	4.84452247191011e-07	6.56536111994909e-05	0.9956866689993	0.627110586011342	0.219	0.291
K03826: putative acetyltransferase	1.313	0.411	0.97	0.627	0.085	0.338	1.12e-15	0.00165	3e-14	1.84e-08	0.888	1	5.65954430379747e-14	0.0133128063241107	8.48839406207827e-14	4.59773399014778e-08	0.9956866689993	1	0.421	0.421
K03827: putative acetyltransferase	1.722	0.398	1.436	0.624	0.082	0.328	<2e-16	0.00885	1.67e-15	2.94e-14	0.834	1	NA	0.0443009457236842	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	1	0.568	0.568
K11661: helicase SRCAP	0.038	0.073	0.061	0.07	0.132	0.213	0.00221	0.503	0.00135	0.0568	0.272	1	0.00335321930824781	0.801298351216959	0.0019882530849262	0.0724521374685666	0.9956866689993	1	0.092	0.092
K12245	0.065	0.092	0.036	0.049	0	0	0.0135	0.198	0.00852	0.338	0.694	0.615	0.0176463654223969	0.42512380952381	0.011583926736654	0.379035740604274	0.9956866689993	0.927988349033218	0.063	0.137
K12243: AraC family transcriptional regulator, transcriptional activator of	0.327	0.297	0.329	0.331	0	0	0.00023	1	0.000129	0.00109	0.357	1	0.000426456107756619	1	0.000207621099947118	0.00179126079913607	0.9956866689993	1	0.119	0.119
K12240: pyochelin synthetase	0.177	0.157	0.239	0.194	0.004	0.017	8.98e-06	0.157	0.000212	1.3e-05	0.166	0.0888	2.14018865671642e-05	0.360490003772162	0.0003350932225396	2.62196819085487e-05	0.9956866689993	0.278621443298969	0.151	0.298
K00062: D-arabinose 1-dehydrogenase	0.257	0.251	0.193	0.212	0	0	0.000132	0.389	0.000166	0.0226	0.38	0.0469	0.000255922292374939	0.674791393559419	0.000264929732564237	0.0307754362416107	0.9956866689993	0.187939631336406	0.122	0.307
K01492: phosphoribosylaminoimidazolecarboxamide formyltransferase	1.025	0.25	0.696	0.269	0.042	0.122	<2e-16	1.1e-08	1.67e-15	9.74e-14	0.749	0.514	NA	4.10779141104294e-07	6.84531313131313e-15	3.49571816037736e-13	0.9956866689993	0.828360603653693	0.614	0.64
K11912: serine/threonine-protein kinase PpkA	0.292	0.216	0.218	0.217	0.001	0.002	3.79e-08	0.212	1.44e-06	0.00265	0.773	0.00914	1.35814003590664e-07	0.446057379882475	2.62354983537863e-06	0.0041498713660921	0.9956866689993	0.0637287285223368	0.221	0.407
K11917: sigma-54 specific transcriptional regulator	0.362	0.163	0.225	0.153	0.025	0.071	2.35e-15	0.000183	7.97e-13	0.000176	0.806	0.000115	7.75305785123967e-14	0.00241631453362256	1.97449694749695e-12	0.000318653182629387	0.9956866689993	0.00393261235955056	0.392	0.594
K01232: maltose-6'-phosphate glucosidase	0.768	0.418	0.721	0.432	0.01	0.041	2.34e-09	0.847	2.49e-10	2.35e-07	0.909	1	1.0390745272525e-08	1	5.50749636627907e-10	5.48063218390805e-07	0.9956866689993	1	0.26	0.26
K11915: serine/threonine protein phosphatase Stp1	0.2	0.158	0.165	0.152	0.019	0.078	1.61e-07	0.524	4.77e-05	0.00657	0.241	0.00101	5.25520850367948e-07	0.818892939666239	7.91575517993457e-05	0.00968084967320261	0.9956866689993	0.015723452685422	0.2	0.428
K11914: sigma-54 dependent transcriptional regulator	0.224	0.122	0.174	0.113	0.013	0.032	3.94e-13	0.108	7.04e-10	4.39e-05	0.667	5.16e-05	4.36797783933518e-12	0.272439287194364	1.53099249732047e-09	8.41635590551181e-05	0.9956866689993	0.00261741	0.331	0.559
K13222	0.065	0.037	0.047	0.041	0	0	2.97e-10	0.049	9.64e-10	0.000138	0.201	0.0196	1.55593700787402e-09	0.152642272262027	2.07932955350815e-09	0.000252557426337943	0.9956866689993	0.107870886075949	0.28	0.461
K12063: conjugal transfer ATP-binding protein TraC	1.473	0.381	1.192	0.625	0.15	0.428	<2e-16	0.0104	1.79e-14	2.26e-11	0.64	0.0114	NA	0.0500829113924051	5.85791935483871e-14	6.87143856143856e-11	0.9956866689993	0.0738996805111821	0.52	0.626
K12792	0.302	0.541	1.574	0.631	2.641	0.121	<2e-16	1.61e-14	1.67e-15	7.52e-09	0.577	0.00686	NA	1.8261e-12	6.84531313131313e-15	1.93058793757908e-08	0.9956866689993	0.0547271559633027	0.711	0.801
K01231: alpha-mannosidase II	0.015	0.067	0.076	0.168	0.191	0.325	4.44e-05	0.112	2.57e-05	0.0281	0.164	0.687	9.3090756302521e-05	0.280092029580937	4.35269616026711e-05	0.0376667474124642	0.9956866689993	0.99117539701351	0.148	0.165
K12795	0.453	0.685	2.353	0.766	3.731	0.082	<2e-16	1.67e-15	1.67e-15	2.47e-09	0.522	0.0441	NA	7.05538636363636e-13	6.84531313131313e-15	6.60003950834065e-09	0.9956866689993	0.181376148648649	0.757	0.811
K12797	0.031	0.157	0.302	0.359	1.437	0.239	<2e-16	1.69e-07	1.67e-15	1.67e-15	0.475	0.369	NA	5.47182446808511e-06	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.674910757211538	0.799	0.813
K07259: D-alanyl-D-alanine carboxypeptidase /	1.633	0.417	1.476	0.39	0.08	0.319	<2e-16	0.168	1.67e-15	1.72e-14	0.749	0.222	NA	0.37902742772424	6.84531313131313e-15	9.80303370786517e-14	0.9956866689993	0.489074918566775	0.596	0.648
K07258: D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5/6)	1.978	0.296	1.935	0.436	0.299	0.543	<2e-16	0.842	1.67e-15	1.67e-15	0.142	0.0568	NA	1	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.211592166462668	0.696	0.74
K07250: (S)-3-amino-2-methylpropionate transaminase	0.774	0.243	0.691	0.396	0.088	0.238	1.79e-13	0.354	3.29e-14	5.67e-10	0.719	1	2.21915527950311e-12	0.639595725734639	8.88081152993348e-14	1.57738985374771e-09	0.9956866689993	1	0.369	0.369
K07257: spore coat polysaccharide biosynthesis protein SpsF	0.673	0.514	0.266	0.412	0	0	2.99e-07	0.000232	1.07e-06	0.167	0.546	0.234	9.23130703789637e-07	0.00295435983263598	1.96295660036166e-06	0.196468689601855	0.9956866689993	0.505091489361702	0.21	0.288
K07254: hypothetical protein	0.182	0.206	0.141	0.17	0.004	0.01	0.000194	0.57	0.00183	0.0572	0.894	0.0147	0.000364617702448211	0.859022035157217	0.00266360832137733	0.072947077309868	0.9956866689993	0.0880697834645669	0.117	0.283
K05372: AraC family transcriptional regulator	0.259	0.262	0.242	0.299	0	0	0.00104	0.949	0.000732	0.00841	0.585	0.701	0.00167002413515688	1	0.00110371166707951	0.0122292570473005	0.9956866689993	1	0.097	0.122
K02413: flagellar FliJ protein	0.338	0.476	0.53	0.607	0	0	6.47e-05	0.154	0.0269	0.0017	0.694	0.0113	0.000132046216768916	0.354806207418622	0.0341980576441103	0.00272959641255605	0.9956866689993	0.0734077908217716	0.114	0.325
K01237: myrosinase	0.009	0.012	0.013	0.018	0.006	0.024	0.251	0.371	0.73	0.261	0.8	0.837	0.270516198704104	0.655332849680789	0.7564708886619	0.297176767676768	0.9956866689993	1	0.02	0.032
K14498	0.019	0.084	0.071	0.159	0.104	0.227	0.0141	0.125	0.0305	0.664	0.169	1	0.0183764936336925	0.30435	0.0384535004142502	0.708212370772735	0.9956866689993	1	0.071	0.071
K09608: tolloid-like protein 1	0.02	0.078	0.113	0.161	0.425	0.323	<2e-16	0.00813	2.56e-14	3.9e-10	0.604	1	NA	0.0416209503784693	7.95848825331971e-14	1.09650346420323e-09	0.9956866689993	1	0.441	0.441
K08349: formate dehydrogenase-N, beta subunit	0.268	0.287	0.342	0.346	0	0	8.88e-05	0.449	0.00177	0.000544	0.33	0.121	0.0001772448	0.744703814713896	0.00257750956937799	0.000931980861244019	0.9956866689993	0.336929094236048	0.123	0.262
K09970: general L-amino acid transport system permease protein	0.295	0.318	0.324	0.424	0.071	0.283	0.016	0.915	0.0396	0.0474	0.993	0.0212	0.0206705501618123	1	0.0492733442354865	0.0610374021578168	0.999103431210822	0.113795767195767	0.054	0.221
K09972: general L-amino acid transport system ATP-binding protein	1.228	0.229	1.07	0.379	0.143	0.312	<2e-16	0.0213	1.67e-15	2.23e-14	0.409	0.756	NA	0.083164271969211	6.84531313131313e-15	1.1886173380035e-13	0.9956866689993	1	0.608	0.617
K09973: hypothetical protein	1.142	0.427	0.947	0.509	0.094	0.378	1.61e-13	0.102	4.21e-14	1.97e-08	0.393	0.0963	2.02110691823899e-12	0.260981084489281	1.11515535248042e-13	4.91450409836066e-08	0.9956866689993	0.291776057740169	0.37	0.464
K06258: MFS transporter, VNT family, synaptic vesicle glycoprotein 2	0.092	0.188	0.298	0.313	0.32	0.499	0.00012	0.00113	0.00496	0.963	0.331	0.44	0.000233792093704246	0.0100266909620991	0.00692148555708391	0.97859449081803	0.9956866689993	0.752325842696629	0.132	0.175
K06120: glycerol dehydratase large subunit	0.143	0.204	0.118	0.206	0	0	0.0141	0.82	0.0188	0.129	0.456	0.00937	0.0183764936336925	1	0.0244051183621241	0.15429809392808	0.9956866689993	0.0651830742857143	0.057	0.276
K11261: formylmethanofuran dehydrogenase subunit E	1.114	0.406	1.044	0.516	0	0	<2e-16	0.701	2.92e-14	6.11e-13	0.522	0.196	NA	0.959304631294964	8.48839406207827e-14	2.07310869565217e-12	0.9956866689993	0.453631939163498	0.454	0.521
K11260: formylmethanofuran dehydrogenase subunit G	0.205	0.243	0.197	0.174	0.01	0.041	0.00519	0.986	0.00335	0.019	0.325	1	0.00732619519094767	1	0.00474550849429835	0.0262014046216584	0.9956866689993	1	0.079	0.079
K11263: acetyl/propionyl carboxylase subunit alpha	0.662	0.194	0.474	0.211	0.086	0.151	<2e-16	3.82e-05	1.65e-14	6.65e-09	0.467	0.583	NA	0.000683671847507331	5.45548614883216e-14	1.71591988130564e-08	0.9956866689993	0.898865501519757	0.484	0.51
K11262: acetyl-CoA carboxylase	0.071	0.148	0.348	0.344	0.395	0.293	2.6e-10	5.1e-08	3.79e-07	0.765	0.077	1	1.38021276595745e-09	1.77392571428571e-06	7.13129211746522e-07	0.803963225138122	0.9956866689993	1	0.298	0.298
K00709: histo-blood group ABO system transferase	0.151	0.273	0.427	0.44	0.686	0.574	7.97e-08	0.000995	2.53e-07	0.0516	0.0911	1	2.73570421324162e-07	0.00908030734632684	4.80802684982829e-07	0.0661101241843822	0.9956866689993	1	0.23	0.23
K10796: D-proline reductase (dithiol) PrdE	0.27	0.39	0.179	0.343	0	0	0.00414	0.469	0.0169	0.255	0.531	0.0767	0.00594706009355883	0.766184380032206	0.0220751716738197	0.291435411190387	0.9956866689993	0.252910563380282	0.08	0.211
K10797: 2-enoate reductase	0.961	0.367	0.873	0.422	0.075	0.265	<2e-16	0.5	3.76e-14	4.85e-10	0.189	1.34e-05	NA	0.797981122181437	1.00250197109067e-13	1.35670726102941e-09	0.9956866689993	0.0012174	0.423	0.666
K10794: D-proline reductase (dithiol) PrdB	0.377	0.444	0.446	0.463	0	0	0.000894	0.723	0.00361	0.00294	0.756	0.229	0.00145845852063752	0.971930432862191	0.00509248435689455	0.00457224833929484	0.9956866689993	0.499077336197637	0.094	0.185
K04568: lysyl-tRNA synthetase, class II	0.219	0.385	0.4	0.517	0	0	0.000158	0.0842	0.103	0.00435	0.651	9.41e-05	0.000302221370388117	0.226080899867667	0.120918225650916	0.00660145848915482	0.9956866689993	0.00364832292993631	0.087	0.43
K00700: 1,4-alpha-glucan branching enzyme	2.04	0.241	1.906	0.211	0.317	0.591	<2e-16	0.0881	1.67e-15	1.67e-15	0.506	1	NA	0.234381424825175	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.769	0.769
K00701: cyclomaltodextrin glucanotransferase	0.966	0.286	0.713	0.4	0.098	0.236	<2e-16	0.000534	2.65e-14	7.73e-09	0.914	0.0308	NA	0.00563337608318891	8.17150455927052e-14	1.98115831578947e-08	0.9956866689993	0.143114198473282	0.471	0.572
K00702: cellobiose phosphorylase	1.304	0.335	0.915	0.527	0.07	0.281	<2e-16	1.01e-05	3.44e-15	1.11e-10	0.307	0.0752	NA	0.000225196703296703	1.26597823458283e-14	3.22663323782235e-10	0.9956866689993	0.249723076923077	0.515	0.599
K00703: starch synthase	1.957	0.342	1.774	0.474	0.304	0.548	<2e-16	0.0846	1.67e-15	6.99e-15	0.885	1	NA	0.226754821664465	6.84531313131313e-15	4.74867522321429e-14	0.9956866689993	1	0.626	0.626
K00705: 4-alpha-glucanotransferase	2.199	0.252	2.004	0.334	0.285	0.524	<2e-16	0.0107	1.67e-15	1.67e-15	0.529	0.889	NA	0.0509232994526974	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.789	0.791
K02813: PTS system, sorbose-specific IIB component	0.314	0.271	0.386	0.389	0.028	0.077	0.000371	0.467	0.000849	0.000299	0.976	1	0.000653588702559576	0.764147580645161	0.00127068182935825	0.000527999129677981	0.998386055843504	1	0.108	0.108
K05502: bone morphogenetic protein 1	0.021	0.084	0.103	0.169	0.405	0.272	<2e-16	0.0149	2.54e-14	1.83e-10	0.973	0.469	NA	0.0640963250883392	7.9246437724244e-14	5.23213245655237e-10	0.998386055843504	0.783855848434926	0.447	0.469
K13725	0.005	0.01	0.009	0.014	0	0	0.0101	0.135	0.246	0.0213	0.818	0.197	0.0135163258464633	0.32200039184953	0.273748080438757	0.0291093623709026	0.9956866689993	0.455081214421252	0.059	0.168
K13051	0.942	0.566	0.924	0.496	0.172	0.426	6.31e-06	0.987	1.31e-06	5.09e-05	0.191	0.128	1.54917097170972e-05	1	2.3924302430243e-06	9.69728638497653e-05	0.9956866689993	0.34891894312584	0.163	0.287
K10133: tumor protein p53-inducible protein 3	0.053	0.121	0.042	0.118	0.09	0.248	0.638	0.919	0.593	0.511	0.402	0.00439	0.653217748140549	1	0.622880241587575	0.555835775553967	0.9956866689993	0.0411740061633282	0.01	0.191
K10139: serpin peptidase inhibitor, clade B, member 5	0.029	0.06	0.106	0.248	0.039	0.1	0.0185	0.0127	0.955	0.202	0.777	1	0.0236175247841382	0.0573053372868792	0.967557423435419	0.235010321100917	0.9956866689993	1	0.056	0.056
K00965: UDPglucose--hexose-1-phosphate uridylyltransferase	1.534	0.363	1.514	0.36	0.159	0.434	<2e-16	0.965	1.67e-15	8.33e-15	0.66	0.33	NA	1	6.84531313131313e-15	5.49346803900325e-14	0.9956866689993	0.629689655172414	0.582	0.621
K00966: mannose-1-phosphate guanylyltransferase	1.632	0.278	1.53	0.374	0.414	0.623	<2e-16	0.364	1.89e-15	2.79e-14	0.757	0.598	NA	0.648994727592267	7.47526315789474e-15	1.24061143984221e-13	0.9956866689993	0.914120040180814	0.543	0.56
K00967: ethanolamine-phosphate cytidylyltransferase	0.23	0.217	0.218	0.256	0.07	0.262	0.0375	0.966	0.0295	0.106	0.244	0.895	0.0454738760631835	1	0.0372621913260012	0.128632775119617	0.9956866689993	1	0.055	0.063
K00960: DNA-directed RNA polymerase	0.708	0.645	0.614	0.65	0.005	0.017	1.16e-05	0.753	0.000111	0.0053	0.743	0.0896	2.7064406779661e-05	0.992746588693957	0.000179839499600745	0.00793435809149041	0.9956866689993	0.279833350436121	0.152	0.299
K00961: DNA polymerase	0.582	0.511	0.508	0.477	0	0	3.22e-09	0.754	3.92e-05	0.00256	0.46	7.17e-11	1.38217634408602e-08	0.992989614885331	6.55163097199341e-05	0.00401823620422898	0.9956866689993	1.09109475e-07	0.147	0.684
K00962: polyribonucleotide nucleotidyltransferase	2.094	0.242	1.91	0.231	0.431	0.629	<2e-16	0.0162	1.67e-15	1.67e-15	0.852	0.407	NA	0.0683363825363825	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.717673522595597	0.741	0.754
K00963: UTP--glucose-1-phosphate uridylyltransferase	1.475	0.364	1.34	0.515	0.192	0.529	<2e-16	0.291	1.21e-14	4.86e-14	0.961	0.639	NA	0.558246769618657	4.11467597765363e-14	1.80934678899083e-13	0.998386055843504	0.951000733496333	0.482	0.501
K00968: choline-phosphate cytidylyltransferase	0.827	0.395	0.654	0.469	0.234	0.509	6.78e-06	0.139	2.15e-06	0.0055	0.42	0.15	1.65337568723274e-05	0.329603817686015	3.87649585308057e-06	0.00820953898970083	0.9956866689993	0.382830188679245	0.168	0.255
K00969: nicotinate-nucleotide adenylyltransferase	1.931	0.244	1.757	0.524	0.017	0.069	<2e-16	0.0262	1.67e-15	1.67e-15	0.537	0.908	NA	0.0971842778793419	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.789	0.791
K12681: pertactin	0.239	0.254	0.206	0.264	0	0	0.000409	0.804	0.00105	0.0205	0.86	0.00255	0.000716422992540588	1	0.00155810580204778	0.0280917379558757	0.9956866689993	0.0282729508196721	0.097	0.367
K03196: type IV secretion system protein VirB11	0.449	0.317	0.505	0.443	0.037	0.148	1.67e-06	0.714	2.93e-05	4.58e-05	0.504	0.0637	4.55682843472317e-06	0.966663256227758	4.93631608081926e-05	8.76405532851305e-05	0.9956866689993	0.227148154657294	0.175	0.282
K08364: periplasmic mercuric ion binding protein	0.666	0.362	0.574	0.39	0.025	0.099	1.12e-12	0.443	8.01e-10	4.58e-06	0.188	0.00152	1.06453333333333e-11	0.738778356164384	1.73635576923077e-09	9.64652595155709e-06	0.9956866689993	0.0201135652173913	0.327	0.524
K08365: MerR family transcriptional regulator, mercuric resistance operon	1.077	0.418	0.674	0.56	0	0	8.79e-15	6.57e-05	2.99e-14	4.79e-06	0.858	0.983	2.00053636363636e-13	0.00103809302325581	8.48839406207827e-14	1.00679316298343e-05	0.9956866689993	1	0.401	0.402
K08368: MFS transporter, putative metabolite transport protein	0.404	0.421	0.516	0.481	0.031	0.123	1.09e-07	0.404	0.00257	0.000632	0.00785	2.26e-05	3.68752542372881e-07	0.690384053902302	0.0036834447845538	0.00107337723214286	0.9956866689993	0.00165742409638554	0.181	0.521
K08369: MFS transporter, putative metabolite:H+ symporter	0.765	0.406	0.941	0.509	0.081	0.235	1.35e-11	0.119	2.73e-08	2.2e-09	0.507	0.0264	9.43817863397548e-11	0.293855172413793	5.4608971409793e-08	5.90189510797708e-09	0.9956866689993	0.130860586319218	0.291	0.453
K01615: glutaconyl-CoA decarboxylase	0.664	0.305	0.524	0.364	0.01	0.029	2.64e-13	0.0784	8.85e-13	6.46e-07	0.121	0.0271	3.09321637426901e-12	0.214770837083708	2.18805645816409e-12	1.45907309833024e-06	0.9956866689993	0.132177644230769	0.362	0.498
K01616: 2-oxoglutarate decarboxylase	0.049	0.093	0.094	0.113	0	0.002	0.00391	0.0609	0.131	0.00435	0.383	0.56	0.00564102638236357	0.179081304347826	0.151827303884235	0.00660145848915482	0.9956866689993	0.875827338129497	0.079	0.124
K01611: S-adenosylmethionine decarboxylase	0.911	0.52	0.894	0.57	0.227	0.492	2.16e-05	0.988	9.7e-06	0.000231	0.0711	0.45	4.76920353982301e-05	1	1.68456205420827e-05	0.000413923167500736	0.9956866689993	0.762569599109131	0.162	0.212
K01610: phosphoenolpyruvate carboxykinase (ATP)	1.985	0.264	1.778	0.442	0.249	0.543	<2e-16	0.0162	1.67e-15	1.67e-15	0.564	1	NA	0.0683363825363825	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.711	0.711
K01613: phosphatidylserine decarboxylase	1.755	0.328	1.427	0.632	0.205	0.454	<2e-16	0.00105	1.67e-15	3.01e-14	0.684	1	NA	0.00949680534918276	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	1	0.573	0.573
K01612: 4-hydroxybenzoate decarboxylase	0.037	0.075	0.04	0.094	0	0	0.171	0.983	0.163	0.211	0.858	1	0.188468249585864	1	0.186535250987028	0.244779302458548	0.9956866689993	1	0.025	0.025
K01619: deoxyribose-phosphate aldolase	2.033	0.263	1.867	0.418	0.169	0.462	<2e-16	0.0488	1.67e-15	1.67e-15	0.683	0.438	NA	0.15209708141321	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.750170512099043	0.765	0.778
K01618	0.542	0.217	0.488	0.281	0.097	0.237	1.71e-09	0.531	2.26e-10	1.16e-06	0.737	0.798	7.74837684449489e-09	0.825171559867245	5.00422699163332e-10	2.5638779956427e-06	0.9956866689993	1	0.266	0.281
K02831: ser/thr/tyr protein kinase RAD53	0.021	0.046	0.031	0.055	0.004	0.008	0.166	0.573	0.33	0.138	0.331	1	0.183565650969529	0.860348051307351	0.359983870967742	0.164416911332942	0.9956866689993	1	0.032	0.032
K02834: ribosome-binding factor A	1.97	0.387	1.647	0.608	0.107	0.402	<2e-16	0.00233	1.67e-15	1.57e-14	0.423	0.471	NA	0.0171082147165259	6.84531313131313e-15	9.15382183908046e-14	0.9956866689993	0.78563412633306	0.645	0.668
K02835: peptide chain release factor RF-1	2.08	0.251	1.826	0.472	0.645	0.625	<2e-16	0.00345	1.67e-15	2.59e-14	0.373	0.313	NA	0.022222380952381	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.609089194373402	0.615	0.641
K02836: peptide chain release factor RF-2	2.111	0.334	2.013	0.199	0.328	0.597	<2e-16	0.397	1.67e-15	1.67e-15	0.92	0.9	NA	0.683603677510608	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.714	0.717
K05285: phosphatidylinositol glycan, class N	0.053	0.127	0.107	0.231	0.212	0.468	0.0193	0.461	0.0168	0.258	0.502	1	0.0245602805227925	0.758407297297297	0.0219681203007519	0.294421822272216	0.9956866689993	1	0.058	0.058
K03618: hydrogenase-1 operon protein HyaF	0.205	0.339	0.191	0.352	0	0	0.111	0.976	0.0499	0.144	0.129	0.326	0.125884090909091	1	0.0611518622911214	0.170996488490051	0.9956866689993	0.626179236352162	0.044	0.14
K03617: electron transport complex protein RnfA	2.013	0.28	1.748	0.57	0.186	0.513	<2e-16	0.00437	1.67e-15	1.89e-15	0.634	1	NA	0.026520628115653	6.84531313131313e-15	1.72222005988024e-14	0.9956866689993	1	0.689	0.689
K03616: electron transport complex protein RnfB	1.734	0.355	1.473	0.577	0.123	0.414	<2e-16	0.0107	1.67e-15	2.7e-14	0.349	0.154	NA	0.0509232994526974	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.388800497718789	0.616	0.665
K03615: electron transport complex protein RnfC	1.965	0.276	1.729	0.427	0.426	0.566	<2e-16	0.00584	1.67e-15	6.33e-15	0.841	1	NA	0.0324343795620438	6.84531313131313e-15	4.33904391891892e-14	0.9956866689993	1	0.65	0.65
K03614: electron transport complex protein RnfD	1.967	0.337	1.821	0.239	0.323	0.585	<2e-16	0.139	1.67e-15	1.67e-15	0.509	1	NA	0.329603817686015	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.674	0.674
K03613: electron transport complex protein RnfE	1.967	0.251	1.786	0.427	0.159	0.439	<2e-16	0.0238	1.67e-15	1.67e-15	0.742	0.767	NA	0.090374672489083	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.76	0.765
K03612: electron transport complex protein RnfG	1.757	0.414	1.565	0.581	0.089	0.276	<2e-16	0.106	1.67e-15	2.28e-14	0.321	0.694	NA	0.268954564401834	6.84531313131313e-15	1.20055017301038e-13	0.9956866689993	0.997491853600945	0.59	0.608
K03610: septum site-determining protein MinC	0.93	0.476	0.698	0.665	0	0	2.98e-09	0.0754	3.25e-10	4.13e-05	0.382	0.376	1.28885807150596e-08	0.209093302961276	7.1495301770871e-10	7.94290995260664e-05	0.9956866689993	0.682586340590516	0.264	0.322
K09704: hypothetical protein	1.864	0.365	1.509	0.488	0.056	0.224	<2e-16	6.6e-05	1.67e-15	3.22e-15	0.0448	0.000991	NA	0.00103809302325581	6.84531313131313e-15	2.50641176470588e-14	0.9956866689993	0.0154672230769231	0.691	0.786
