wgs	stoolMeans	stoolSDs	swabMeans	swabSDs	tissueMeans	tissueSDs	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
K12283: MSHA biogenesis protein MshM	0.236	0.351	0.292	0.338	0	0	0.0132216796766514	0.696953052440363	0.0217856276703524	0.0132518099707623	0.0458868079346858	0.000265003070115541	0.0164011339294431	0.956346535212915	0.0280713623262987	0.0187024732882054	0.999248226209326	0.00669325181656969
K12287: MSHA biogenesis protein MshQ	0.196	0.187	0.11	0.163	0.001	0.002	7.9676558385625e-05	0.0557749120803838	0.000141613989968259	0.111015912612339	0.70980065958973	0.473915903272445	0.000127528585562266	0.169158888805828	0.000227142123039998	0.134264625486054	0.999248226209326	0.788586479622506
K11957: neutral amino acid transport system ATP-binding protein	0.095	0.092	0.066	0.06	0	0	0.000104608922980486	0.221757504531968	8.39812046329325e-05	0.0289118330842046	0.42960980231631	0.00241388034903545	0.000165262007314357	0.460852826932772	0.00013701248796587	0.038686816439559	0.999248226209326	0.0274128538891395
K11956: neutral amino acid transport system permease protein	0.029	0.038	0.016	0.019	0	0	0.00229647467001441	0.133526083080386	0.00365392806076481	0.291201113572083	0.208905655457752	0.999890163339202	0.00314197377306759	0.320494190737504	0.0051508707980258	0.329040500893497	0.999248226209326	0.999998145862406
K11955: neutral amino acid transport system permease protein	0.013	0.021	0.009	0.014	0.009	0.031	0.544787580977434	0.627937709485422	0.727138043531518	0.999635843603879	0.257824659921481	0.566975607827516	0.55639630963249	0.908513422305212	0.753761796828397	0.999985557525021	0.999248226209326	0.881978156106846
K11954: neutral amino acid transport system substrate-binding protein	0.013	0.021	0.018	0.026	0	0	0.0245173446018453	0.477502183163633	0.0648252840214176	0.0190406847201413	0.98072661881452	0.779398204339867	0.029227786249791	0.776116365531919	0.0779055288920768	0.02625750971715	0.999248226209326	0.999998145862406
K11953: bicarbonate transport system ATP-binding protein	0.146	0.095	0.154	0.094	0.004	0.017	8.88228767498756e-08	0.914732228848815	9.09304356255802e-08	1.19642450802093e-06	0.575895805100171	0.886132177865285	1.71857867379686e-07	0.999999996206915	1.77174635612326e-07	2.64054966654221e-06	0.999248226209326	0.999998145862406
K11952: bicarbonate transport system ATP-binding protein	0.06	0.055	0.058	0.083	0.001	0.005	0.0012161673386014	0.989809150655271	0.000844821231892223	0.00652214355984371	0.817741445324106	0.876368895246281	0.0017175894640526	0.999999996206915	0.00126473852398622	0.00961731779282186	0.999248226209326	0.999998145862406
K11951: bicarbonate transport system permease protein	0.049	0.071	0.051	0.109	0.01	0.039	0.155010075527358	0.994399464038836	0.144321620602846	0.209942218340534	0.934204916855533	0.0305564094587112	0.167473611951549	0.999999996206915	0.166002589684339	0.243645049197108	0.999248226209326	0.142635632189551
K11959: urea transport system substrate-binding protein	0.044	0.113	0.035	0.067	0.02	0.078	0.664154012781804	0.919449308349276	0.657994558309473	0.878920326026017	0.412941226003251	0.0875952956593955	0.674571245753853	0.999999996206915	0.686059074414142	0.908471391496071	0.999248226209326	0.275694190630166
K11958: neutral amino acid transport system ATP-binding protein	0.1	0.1	0.078	0.058	0.001	0.005	0.000225423469005706	0.461168953684387	0.000139819834095944	0.0160804839985467	0.94741924566429	0.999956002024521	0.000345108816860597	0.758890354440893	0.000224382633836545	0.0224088612864363	0.999248226209326	0.999998145862406
K13884	0.024	0.067	0.1	0.184	0.063	0.108	0.00289270177573778	0.00251606002036686	0.354435194945133	0.493347893090171	0.641187667296004	0.99996053851729	0.00390851847034758	0.0179545807080575	0.38457166339234	0.538366551674412	0.999248226209326	0.999998145862406
K13889	0.721	0.342	0.765	0.388	0.065	0.237	1.07758205706461e-10	0.819761563849361	1.49038448249428e-10	3.22917792505706e-09	0.301418197253917	0.690624690113919	2.43475945855689e-10	0.999999996206915	3.34142554141535e-10	8.54237550187845e-09	0.999248226209326	0.994946267513715
K13888	1.226	0.319	1.097	0.483	0.037	0.15	3.46112300677784e-24	0.193455112001985	2.1094237467878e-15	2.98649993624167e-14	0.652804551285735	0.0248713654772536	1.34019438563974e-23	0.418170324708312	8.15759996613553e-15	1.23961984661357e-13	0.999248226209326	0.126036922367838
K12029: tripartite motif-containing protein 60/61	0.01	0.072	0.106	0.235	0.467	0.413	1.27847615789685e-15	0.0361403654372341	2.98649993624167e-14	8.33849489456640e-09	0.760986679314915	0.847217851767482	3.49285654089681e-15	0.121523110660151	8.48160947682968e-14	2.12904439694738e-08	0.999248226209326	0.999998145862406
K07217: Mn-containing catalase	1.125	0.395	0.918	0.541	0	0	1.12236565400134e-17	0.0507030455261869	2.87547763377916e-14	1.21431753541401e-10	0.770044964999736	0.000878594404186152	3.34566098722142e-17	0.157303485279256	8.48160947682968e-14	3.51978611336433e-10	0.999248226209326	0.0143763552104331
K07216: hemerythrin	1.162	0.462	1.053	0.601	0.068	0.271	2.14934979818094e-13	0.538518443155008	1.09801057135428e-13	2.59832100280022e-09	0.519779305629126	0.663594965828615	5.42641734613331e-13	0.831969990732115	2.82008031554156e-13	6.92937732730178e-09	0.999248226209326	0.972622816517886
K07214: enterochelin esterase and related enzymes	1.834	0.397	1.486	0.591	0.088	0.354	2.43166493074902e-29	0.000861810001022589	1.66533453693773e-15	2.85327317328665e-14	0.898927423265859	0.999807679879566	1.23346203612244e-28	0.00819202119846664	6.8261894453468e-15	1.23961984661357e-13	0.999248226209326	0.999998145862406
K07213	1.489	0.418	1.352	0.495	0.092	0.369	2.19860944677377e-22	0.303743789221661	4.77395900588817e-15	3.06421554796543e-14	0.388693090726245	0.048424917290344	7.87231511912466e-22	0.574903123442864	1.72150998038159e-14	1.23961984661357e-13	0.999248226209326	0.191404202302808
K07212: GGDEF domain	0.407	0.273	0.344	0.277	0.067	0.27	4.94030438988545e-05	0.529470243809676	2.69509428538761e-05	0.00443281667573947	0.458132040734511	0.497911312196255	8.04484559155504e-05	0.823845954516743	4.55822142682812e-05	0.00671819301000216	0.999248226209326	0.812543205720805
K07219: putative molybdopterin biosynthesis protein	0.76	0.357	0.557	0.518	0	0	3.50388548201189e-11	0.0348129777580491	2.21228591001932e-11	1.68642471782832e-05	0.955037766447499	0.0175080474425395	8.0757860390028e-11	0.118251448444891	5.17333243729834e-11	3.35317964203283e-05	0.999248226209326	0.0995065217392513
K07218: nitrous oxidase accessory protein	0.205	0.317	0.256	0.404	0	0	0.0317637454084334	0.738571971759032	0.0481793373380811	0.0310376931965141	0.502832792813314	0.36109607372115	0.0372990202150832	0.983954386539117	0.0591200797952899	0.0413134569182552	0.999248226209326	0.666395160080756
K11481: aurora kinase A	0.068	0.09	0.202	0.292	0.21	0.407	0.000973653866653176	0.00554258729339696	0.0229280481736098	0.98913881776547	0.0555842228300155	0.999890061663077	0.00138959697217301	0.0313256535328759	0.0294374666173303	0.996505790092422	0.999248226209326	0.999998145862406
K11480: aurora kinase C	0.009	0.017	0.076	0.171	0.139	0.345	0.000628633900335577	0.0586183362920746	0.00149074090855061	0.301942173593814	0.734963364850566	0.283140816935413	0.000917184695911472	0.17462127734084	0.00218706674146724	0.340355927901027	0.999248226209326	0.57239393978275
K10232: alpha-glucoside transport system substrate-binding protein	0.049	0.071	0.059	0.082	0.011	0.043	0.0829222042409154	0.806545854310605	0.111149222282384	0.0810936731557769	0.607748052786858	0.999998145862406	0.0921072002216153	0.999999996206915	0.129933803732066	0.100717647112674	0.999248226209326	0.999998145862406
K11755: phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP	1.716	0.266	1.505	0.388	0.279	0.61	4.19257855945034e-31	0.0128192578203595	1.66533453693773e-15	1.18793863634892e-14	0.235260113206791	0.999814651929456	2.41211963056467e-30	0.057672448154123	6.8261894453468e-15	7.30402270652107e-14	0.999248226209326	0.999998145862406
K10986: PTS system, galactosamine-specific IID component	0.367	0.283	0.423	0.309	0.061	0.168	0.000114180335319695	0.622037787753248	0.000226186627320657	0.000176966793485001	0.617834837207845	0.207322259984065	0.000179729945976463	0.903877778480311	0.000356406420010572	0.000320213101053269	0.999248226209326	0.46932625295813
K01141: exodeoxyribonuclease I	0.236	0.401	0.348	0.421	0	0	0.0165900980885888	0.360177491098025	0.0613717028297865	0.012051163214058	0.483924090376509	0.00473725665920587	0.0202291520563381	0.646288458370657	0.0740621639819411	0.0171391192719558	0.999248226209326	0.0434927319526186
K10236: trehalose/maltose transport system substrate-binding protein	0.044	0.077	0.032	0.048	0	0	0.050614796052784	0.668365065620453	0.042985765576296	0.292124932440279	0.386566859399006	0.0328923237121181	0.0577167972224234	0.938269869564506	0.0531709723761255	0.329961860041562	0.999248226209326	0.149414607787808
K00400: methyl coenzyme M reductase system, component A2	0.148	0.151	0.098	0.066	0.005	0.015	0.000231481655198494	0.176818514866146	0.00022708830154361	0.0619186155426581	0.6920660300715	6.84171076039422e-07	0.000354116319475555	0.391379745450993	0.000357457070467017	0.0785532748662276	0.999248226209326	0.000189297697265998
K00154: coniferyl-aldehyde dehydrogenase	0.537	0.294	0.545	0.294	0.204	0.32	0.000210386405912037	0.992932084983946	0.000165381394892972	0.00106816355654293	0.707647895153839	0.0279779679203424	0.000323131708578487	0.999999996206915	0.000264080941950031	0.00175774846409214	0.999248226209326	0.135160230738988
K00157: aldehyde oxidase	0.062	0.06	0.154	0.19	0.297	0.355	8.58231243979779e-08	0.0139239705695551	1.5521220086967e-07	0.0087581541546754	0.298536166387713	0.999883062229335	1.66159465079673e-07	0.0609336819709864	2.98885373835394e-07	0.0126960905785923	0.999248226209326	0.999998145862406
K08669: HtrA serine peptidase 2	0.036	0.078	0.127	0.27	0.148	0.31	0.00569801766400656	0.0330245658818693	0.0371130258862683	0.912013934255858	0.114709994895729	0.852064150737833	0.00741107553863417	0.114346150468111	0.0463684295093832	0.937582978857526	0.999248226209326	0.999998145862406
K14521	0.017	0.057	0.092	0.172	0.163	0.346	0.000329951579013146	0.0469551246167134	0.000828146567286248	0.264016438148625	0.890252962140882	0.658489265448838	0.000497378717546562	0.147848144207968	0.00124091391778479	0.300330416559648	0.999248226209326	0.969106421370183
K08660: cytosolic nonspecific dipeptidase	1.157	0.354	1.027	0.409	0.198	0.415	6.04421823752765e-16	0.237005792999043	3.06421554796543e-14	1.80521264603328e-10	0.526127517025645	0.00167039532206823	1.67537142130377e-15	0.482816018067327	8.48160947682968e-14	5.16611630296408e-10	0.999248226209326	0.0214868474573457
K10532: heparan-alpha-glucosaminide N-acetyltransferase	0.99	0.441	0.772	0.544	0.162	0.455	3.83742666418149e-09	0.0764490022874557	2.36432107225681e-09	0.000150294182575395	0.601031865441989	0.00430556957126967	7.96943572325920e-09	0.211136604774838	5.01198237844908e-09	0.000274068510885688	0.999248226209326	0.0406956552489418
K10530: lactate oxidase	0.072	0.15	0.077	0.148	0	0	0.1520258838819	0.987301840278832	0.144949492642354	0.197599032315518	0.491799839482356	0.969712091670305	0.164395373101639	0.999999996206915	0.166693285795203	0.230374508658218	0.999248226209326	0.999998145862406
K10536: agmatine deiminase	1.724	0.246	1.461	0.483	0.111	0.442	2.13285530036999e-37	0.000840691795886417	1.66533453693773e-15	1.88737914186277e-15	0.608073958580141	0.685584239733205	2.11444466015507e-36	0.00803933370752953	6.8261894453468e-15	1.71983186175429e-14	0.999248226209326	0.989836638343458
K10538: L-arabinose transport system permease protein	0.544	0.299	0.7	0.361	0.065	0.163	1.75802833467755e-09	0.045276669530683	8.71228202914409e-08	1.42682110571002e-09	0.608443929774764	0.276643533717631	3.72083396146809e-09	0.144292715933648	1.70027767590254e-07	3.87380020983804e-09	0.999248226209326	0.564528589888224
K10539: L-arabinose transport system ATP-binding protein	0.717	0.254	0.718	0.309	0.071	0.239	2.85236020588861e-15	0.99971988424083	3.26405569239796e-14	2.81874523722081e-12	0.0962782216445353	0.0295824626599999	7.70289111501506e-15	0.999999996206915	8.83035866650062e-14	9.11620380882854e-12	0.999248226209326	0.140131089658692
K11227: mitogen-activated protein kinase kinase	0.011	0.025	0.012	0.037	0.05	0.11	0.00476756660112897	0.989373293873893	0.00345637453828296	0.0186538714441712	0.188407823128962	0.510611375131719	0.0062705656657459	0.999999996206915	0.00488448037519802	0.0257707933455901	0.999248226209326	0.82552229493407
K11226: mitogen-activated protein kinase kinase	0.013	0.027	0.015	0.025	0.026	0.073	0.357171652438642	0.940509291452666	0.324372521995538	0.572833789375737	0.321340589660878	0.739443020682907	0.370944181606213	0.999999996206915	0.354353112237409	0.617358228741167	0.999248226209326	0.999998145862406
K11229: mitogen-activated protein kinase kinase kinase	0.01	0.028	0.015	0.017	0.042	0.07	0.00223710033203104	0.737045550554861	0.00141888794775813	0.0307896459330194	0.771484508549286	0.999876451183121	0.00306487277089196	0.982981451799888	0.00208516922694441	0.0410101914210698	0.999248226209326	0.999998145862406
K11228: mitogen-activated protein kinase kinase kinase	0.026	0.046	0.04	0.045	0.076	0.138	0.0123094515380422	0.552941837290978	0.00987062686442108	0.160449365830016	0.898801001693805	0.43208973505467	0.0153230789017442	0.844182835111659	0.0132955312511023	0.189384388172835	0.999248226209326	0.744399580094106
K00073: ureidoglycolate dehydrogenase	0.407	0.374	0.623	0.446	0.074	0.296	5.65940251644272e-05	0.0246812325282182	0.00448130640853106	3.08215035528248e-05	0.640737185927095	0.0481236141895958	9.1643477301375e-05	0.0927979389985405	0.00627362284009397	5.99203104842045e-05	0.999248226209326	0.190445219552949
K00070: 3beta-hydroxy-delta5-steroid dehydrogenase / steroid delta-isomerase	0.088	0.152	0.183	0.238	0.297	0.536	0.00258638548324538	0.148303378112237	0.00388626512430523	0.282273859282219	0.0503675888273028	0.999847091472824	0.0035188485553229	0.345077470401065	0.00546699695207903	0.319843816353475	0.999248226209326	0.999998145862406
K00076: 7-alpha-hydroxysteroid dehydrogenase	0.739	0.265	0.629	0.316	0.002	0.009	2.44180489155423e-18	0.124194879349959	2.54241072639161e-14	7.79776243575725e-12	0.143341406725435	0.256121545922879	7.45773526085831e-18	0.303604108675984	7.93216509048986e-14	2.45297053986844e-11	0.999248226209326	0.537902821389518
K00077: 2-dehydropantoate 2-reductase	1.876	0.313	1.6	0.603	0.252	0.544	1.01416147373506e-28	0.00612304645034423	1.66533453693773e-15	2.63122856836162e-14	0.561882870116808	0.999853679846777	4.93461302208257e-28	0.0336533847170931	6.8261894453468e-15	1.23961984661357e-13	0.999248226209326	0.999998145862406
K00074: 3-hydroxybutyryl-CoA dehydrogenase	1.461	0.371	1.403	0.529	0.256	0.492	8.12542970770117e-19	0.795264835258149	2.4757973449141e-14	5.93969318174459e-14	0.866957426607732	0.182715395325044	2.5415976685908e-18	0.999999996206915	7.77614986506301e-14	2.19120681195632e-13	0.999248226209326	0.432758214530562
K00075: UDP-N-acetylmuramate dehydrogenase	2.042	0.242	1.805	0.422	0.15	0.409	5.5656690549209e-48	0.00125103998006204	1.66533453693773e-15	1.66533453693773e-15	0.450379836127267	0.827934492872509	3.25752187858688e-46	0.0108631674160309	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.999998145862406
K00078: D-xylose 1-dehydrogenase (NADP)	1.349	0.316	1.331	0.5	0.153	0.426	1.60635620787052e-22	0.973564320955198	4.77395900588817e-15	2.78665979180914e-14	0.199259337206852	0.999847897419414	5.78573386822951e-22	0.999999996206915	1.72150998038159e-14	1.23961984661357e-13	0.999248226209326	0.999998145862406
K00079: carbonyl reductase (NADPH)	0.143	0.135	0.188	0.247	0	0	0.000733147655657004	0.37880522321539	0.0027387579374144	0.000600188341862262	0.928460016861133	0.916650793637436	0.00106102467427108	0.665352947969357	0.00390868220176203	0.00102305976950871	0.999248226209326	0.999998145862406
K02563: UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)	2.04	0.246	1.79	0.414	0.145	0.397	2.89912573982057e-48	0.000567520500935226	1.66533453693773e-15	1.66533453693773e-15	0.699505412271652	0.999847800618389	1.87733812534976e-46	0.00595602980895296	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.999998145862406
K02567: periplasmic nitrate reductase NapA	0.492	0.329	0.372	0.352	0.051	0.202	5.2662011540567e-06	0.191344344304646	3.56275058155386e-06	0.00523378468945468	0.322223361902716	0.100847628430636	9.14300240295011e-06	0.415375543431661	6.35407641075839e-06	0.00784294618530542	0.999248226209326	0.300419412925088
K08279: carnitine operon protein CaiE	0.624	0.485	0.558	0.583	0	0	2.21210020150387e-05	0.802463802385634	1.15421114934566e-05	0.000888780041845449	0.577995091035354	0.027035413639833	3.69310310656996e-05	0.999999996206915	1.99593274604178e-05	0.0014797604252498	0.999248226209326	0.132286626065646
K08272: calcium binding protein 39	0.046	0.114	0.138	0.269	0.118	0.286	0.0314120990775688	0.0433543165136749	0.290772792990785	0.930456719182262	0.29506522973118	0.999882688071017	0.0369051239307395	0.139702342307432	0.319827428776696	0.9525210308884	0.999248226209326	0.999998145862406
K00299: FMN reductase	0.375	0.444	0.423	0.577	0	0	0.00590011593592561	0.874924241604925	0.00678129798750171	0.00909991707503799	0.456262582464656	0.0801777355322631	0.00765757051214908	0.999999996206915	0.00933674753447702	0.0131633068526037	0.999248226209326	0.259596148226085
K00297: methylenetetrahydrofolate reductase (NADPH)	1.999	0.372	1.718	0.465	0.108	0.421	3.47637366803922e-36	0.00359410629488699	1.66533453693773e-15	1.88737914186277e-15	0.564712171399382	0.82973709480692	3.04032852260843e-35	0.0229322065167475	6.8261894453468e-15	1.71983186175429e-14	0.999248226209326	0.999998145862406
K00294: 1-pyrroline-5-carboxylate dehydrogenase	0.853	0.337	0.693	0.373	0.124	0.275	3.46169437344148e-12	0.0747889987256709	1.58129065397361e-12	1.05161505414841e-06	0.872489973045212	0.00392733985747998	8.31216317599143e-12	0.20777756058565	3.86558883965356e-12	2.33449337512815e-06	0.999248226209326	0.0383773690962062
K00293: saccharopine dehydrogenase (NADP+, L-glutamate forming)	0.364	0.376	0.331	0.459	0.069	0.274	0.0173315781731396	0.912448079366503	0.0124209643619607	0.07390070595551	0.0383575117668867	0.782484358209281	0.0210910268572372	0.999999996206915	0.0165187699522078	0.0924644832219567	0.999248226209326	0.999998145862406
K00290: saccharopine dehydrogenase (NAD+, L-lysine forming)	1.88	0.278	1.712	0.252	0.233	0.51	2.10177829802971e-41	0.0313433757166216	1.66533453693773e-15	1.66533453693773e-15	0.426564392049937	0.999858896148254	3.38453029103355e-40	0.110349733358339	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.999998145862406
K01149	0.003	0.008	0.001	0.002	0.006	0.026	0.250043212763342	0.504634924742386	0.559234131495358	0.228681258685708	0.455331947277738	0.869176772906516	0.263552040881465	0.80289133110674	0.589958086379938	0.263333867124461	0.999248226209326	0.999998145862406
K01210: glucan 1,3-beta-glucosidase	0.78	0.416	0.496	0.428	0	0	3.30955172922857e-11	0.00297129420607767	6.09202688295341e-11	0.000315089586639616	0.584746179398677	0.188211381872129	7.63945444664934e-11	0.0201855667772263	1.39704816328093e-10	0.000554962475079672	0.999248226209326	0.440351624946904
K01213: galacturan 1,4-alpha-galacturonidase	1.706	0.383	1.474	0.575	0.088	0.352	9.47290956225944e-28	0.0301476546773485	1.66533453693773e-15	2.67563748934663e-14	0.24441517059494	0.0233712409173098	4.40837924353771e-27	0.107629779484469	6.8261894453468e-15	1.23961984661357e-13	0.999248226209326	0.121585070218056
K01212: levanase	1.648	0.344	1.42	0.415	0.157	0.394	3.3379782207267e-30	0.0113107401547252	1.66533453693773e-15	1.7874590696465e-14	0.479992162113257	0.443536997606512	1.77918331257123e-29	0.0531238235507812	6.8261894453468e-15	1.00094419107068e-13	0.999248226209326	0.756780620484852
K01215: glucan 1,6-alpha-glucosidase	0.784	0.224	0.758	0.223	0.124	0.177	3.38179163308845e-20	0.841468691098434	1.60982338570648e-14	3.03090885722668e-14	0.647952053537711	0.0750658528834	1.11753342402874e-19	0.999999996206915	5.32554073304094e-14	1.23961984661357e-13	0.999248226209326	0.249549888859233
K01214: isoamylase	0.099	0.044	0.12	0.102	0.008	0.023	1.72280776593851e-08	0.196919132290065	1.64472629293755e-07	2.63331346728179e-08	0.18587414427499	0.248828969441485	3.45299007944278e-08	0.423999560753317	3.16317502215193e-07	6.51849494727299e-08	0.999248226209326	0.526093065991775
K01216: licheninase	0.779	0.365	0.795	0.428	0.095	0.321	1.23284198882126e-09	0.976521361132145	1.03871333756445e-09	6.03065856141782e-08	0.79941356932976	0.198548721122705	2.63401515828536e-09	0.999999996206915	2.23573128916364e-09	1.46249476746415e-07	0.999248226209326	0.457443628112757
K01219: agarase	0.353	0.365	0.274	0.41	0	0	0.00139305552343801	0.555001897662595	0.000921936730381767	0.0391585750092162	0.310499888696963	0.000391806410889	0.00195290856083998	0.846166001226295	0.0013744376384604	0.051183789095127	0.999248226209326	0.00836816008098717
K01218: mannan endo-1,4-beta-mannosidase	1.47	0.385	1.164	0.487	0.066	0.262	3.15723309012931e-25	0.00126611297564971	1.88737914186277e-15	4.2854608750531e-14	0.816851204365772	0.557723460361602	1.27610078483513e-24	0.0109007491977084	7.46489722970673e-15	1.61520745179246e-13	0.999248226209326	0.873981514859668
K02749: PTS system, arbutin-like IIB component	0.525	0.352	0.521	0.307	0.055	0.152	1.90910637860125e-06	0.997541546392488	1.24886163122007e-06	3.84845927478006e-05	0.413416441393652	0.0945399040363025	3.41987360993109e-06	0.999999996206915	2.28351479400317e-06	7.41785041342185e-05	0.999248226209326	0.288825735463549
K02746: PTS system, N-acetylgalactosamine-specific IIC component	0.675	0.417	0.857	0.503	0.05	0.2	2.52204807604179e-08	0.108550649784386	4.72703523990425e-07	2.48209830466806e-08	0.997169872550424	0.0101554845910701	5.00871342214236e-08	0.273601575667725	8.83705881612322e-07	6.15418834236842e-08	0.999248226209326	0.0688379005633001
K02747: PTS system, N-acetylgalactosamine-specific IID component	0.604	0.377	0.649	0.423	0.082	0.227	1.86069640162692e-06	0.842834946758281	2.26508037759476e-06	1.03374936265554e-05	0.442035396792267	0.999809996579047	3.33413570700709e-06	0.999999996206915	4.07915510604122e-06	2.10378882329799e-05	0.999248226209326	0.999998145862406
K02744: PTS system, N-acetylgalactosamine-specific IIA component	0.539	0.471	0.654	0.488	0.065	0.258	0.000159068250600214	0.467342736632646	0.000465224113487595	0.000173859170918389	0.110324118537841	0.0589519882647392	0.000247254453882407	0.764708397280353	0.000714204080403276	0.000315013122640502	0.999248226209326	0.216169128052691
K02745: PTS system, N-acetylgalactosamine-specific IIB component	0.645	0.432	0.641	0.514	0.068	0.271	1.10077788558716e-05	0.99913476001203	7.45251168920991e-06	0.000142153257246092	0.536900398409298	0.759010290069043	1.87372343108753e-05	0.999999996206915	1.30354708770749e-05	0.000259767900587499	0.999248226209326	0.999998145862406
K00924	1.395	0.276	1.3	0.322	0.458	0.322	4.70254060948813e-22	0.286346850143011	4.9960036108132e-15	3.09752223870419e-14	0.890048188113208	0.000337351097422408	1.66614462688907e-21	0.552279238536282	1.79414005775929e-14	1.23961984661357e-13	0.999248226209326	0.00763988222653883
K00925: acetate kinase	2.054	0.281	1.946	0.285	0.397	0.618	4.73607951614293e-38	0.29027128552544	1.66533453693773e-15	1.66533453693773e-15	0.566995012180893	0.999847633205217	5.08439435886455e-37	0.557487000657562	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.999998145862406
K00926: carbamate kinase	1.549	0.392	1.504	0.491	0.077	0.307	2.39293999116488e-26	0.85850664279897	1.66533453693773e-15	1.36557432028894e-14	0.303301319234651	0.435717014962717	1.01433326784266e-25	0.999999996206915	6.8261894453468e-15	8.1174325074207e-14	0.999248226209326	0.748366103295163
K00927: phosphoglycerate kinase	2.044	0.25	1.863	0.258	0.49	0.657	4.65616860664619e-37	0.0246820869457265	1.66533453693773e-15	1.66533453693773e-15	0.337418868608608	0.635220077999531	4.4284528607274e-36	0.0927979389985405	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.947227980103662
K00928: aspartate kinase	2.166	0.132	1.931	0.282	0.232	0.504	2.04393577145891e-62	2.03569901854328e-05	1.66533453693773e-15	1.66533453693773e-15	0.981145237955355	0.999852198367211	2.07357284014506e-59	0.000406272128717146	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.999998145862406
K00929: butyrate kinase	1.794	0.374	1.413	0.619	0.166	0.455	1.19473256431212e-26	0.000283909184294662	1.66533453693773e-15	3.49720252756924e-14	0.974472504271123	0.348294261029523	5.1608761115274e-26	0.00345631040960321	6.8261894453468e-15	1.34475500854795e-13	0.999248226209326	0.652205437166536
K14310	0.021	0.064	0.055	0.153	0.06	0.166	0.157180887145922	0.272911022408361	0.333724512261532	0.985167799778815	0.872009806673437	0.681764432813118	0.169668391568935	0.535155914689933	0.363720878448692	0.99497534382838	0.999248226209326	0.987366191418856
K04593: latrophilin 2	0.023	0.087	0.137	0.218	0.382	0.34	6.84973691001573e-13	0.00416843470632366	8.03468402921226e-13	1.52801796866608e-05	0.863792204467887	0.99988829783779	1.69420351772717e-12	0.0255521269460142	1.98971202952868e-12	3.05854829834609e-05	0.999248226209326	0.999998145862406
K02298: cytochrome o ubiquinol oxidase subunit I	0.231	0.362	0.613	0.434	0.917	0.342	2.29511671500817e-11	1.55448397131108e-05	1.05073894030028e-09	0.0296302036783517	0.986220200886912	0.00186590915969436	5.34035758572428e-11	0.00032628082528864	2.26081581110208e-09	0.0396219353668995	0.999248226209326	0.0229435163985272
K02299: cytochrome o ubiquinol oxidase subunit III	0.124	0.295	0.418	0.551	0.092	0.273	0.000597448238316013	0.000573814094452785	0.940978927029185	0.0120651100356004	0.845354957748036	0.99982994691179	0.000873568923043376	0.00598083286461319	0.955773579660623	0.0171549462244101	0.999248226209326	0.999998145862406
K02569: cytochrome c-type protein NapC	0.351	0.435	0.595	0.525	0	0	0.000111095481172724	0.0245740663291788	0.00860307407716698	6.42279590926664e-05	0.61734617458974	0.00157444255069099	0.000175100516286476	0.0926206450437841	0.011691104078835	0.000121188960631451	0.999248226209326	0.0205657334893907
K02291: phytoene synthase	0.315	0.495	0.221	0.386	0	0	0.0318681491746228	0.5905317948296	0.0273930275515052	0.26223483896358	0.749684108190015	0.0500551531765814	0.0374048253038815	0.87736564196431	0.0347740059866553	0.298471104108323	0.999248226209326	0.194777200522112
K02560: lipid A biosynthesis (KDO)2-(lauroyl)-lipid iva acyltransferase	0.172	0.351	0.276	0.408	0.044	0.175	0.106494255633042	0.356896617728048	0.361761679131361	0.0908569834532599	0.810498673495252	0.00319891554492116	0.116819342951581	0.643111223241749	0.392171565605092	0.111771717518188	0.999248226209326	0.0330886368737138
K02293: phytoene dehydrogenase, phytoene desaturase	0.035	0.088	0.044	0.12	0.026	0.104	0.83365092635489	0.900728966729723	0.940053729265889	0.828062824340682	0.557026850600613	0.999977420592841	0.838749287392102	0.999999996206915	0.955117184116419	0.861168360116475	0.999248226209326	0.999998145862406
K02564: glucosamine-6-phosphate deaminase	2.265	0.287	1.921	0.618	0.373	0.688	2.49841294426942e-33	0.000736421341660298	1.66533453693773e-15	9.43689570931383e-15	0.57509093879619	0.607754136621729	1.74202057179472e-32	0.00725339272926575	6.8261894453468e-15	6.09145113283068e-14	0.999248226209326	0.922083606584363
K02565: N-acetylglucosamine repressor	0.922	0.311	0.936	0.442	0.112	0.314	1.43504477043822e-14	0.979842896272483	4.31876756579186e-14	6.43629594065942e-12	0.475977704036468	0.0928981022143034	3.78143615483006e-14	0.999999996206915	1.1414823349099e-13	2.03626472925124e-11	0.999248226209326	0.28515922752318
