Strain	BioProject	Genes	Proteins	Size-Mb	GC	16S count	Mean 16S similarity	Bioproject	species	genus	family	order	class	phylum	
Lactobacillus amylovorus GRL 1112	PRJNA61179	2193	2121	2.1267	38.076	4	99.84	bio61179	Lactobacillus amylovorus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus amylovorus GRL1118	PRJNA42079	1994	1920	1.9771	37.9883	4	99.84	bio42079	Lactobacillus amylovorus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus brevis ATCC 367	PRJNA57989	2351	2218	2.3402	46.0393	5	99.64	bio57989	Lactobacillus brevis	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus buchneri NRRL B-30929	PRJNA66205	2541	2392	2.5883	44.2148	5	99.51	bio66205	Lactobacillus buchneri	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus casei ATCC 334	PRJNA57985	2926	2768	2.9243	46.5563	5	99.76	bio57985	Lactobacillus casei	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus casei BD-II	PRJNA64431	3290	3204	3.1273	46.2523	5	99.66	bio64431	Lactobacillus casei	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus casei BL23	PRJNA59237	3090	3015	3.0792	46.3	5	99.59	bio59237	Lactobacillus casei	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus casei LC2W	PRJNA64433	3249	3164	3.0774	46.3526	5	99.66	bio64433	Lactobacillus casei	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus casei str. Zhang	PRJNA50673	2950	2848	2.8983	46.4194	5	99.66	bio50673	Lactobacillus casei	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus crispatus ST1	PRJNA48359	2098	2022	2.0432	36.9	4	99.81	bio48359	Lactobacillus crispatus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus delbrueckii subsp. bulgaricus 2038	PRJNA16120	1792	1792	1.8729	49.7	9	99.70	bio16120	Lactobacillus delbrueckii	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	PRJNA58647	2184	1529	1.8650	49.7	9	99.56	bio58647	Lactobacillus delbrueckii	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	PRJNA57987	2033	1715	1.8570	49.7	9	99.56	bio57987	Lactobacillus delbrueckii	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus delbrueckii subsp. bulgaricus ND02	PRJNA60621	2183	2018	2.1320	49.5857	9	99.40	bio60621	Lactobacillus delbrueckii	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus fermentum CECT 5716	PRJNA43533	1149	1051	2.1005	51.5	5	99.72	bio43533	Lactobacillus fermentum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus fermentum IFO 3956	PRJNA58865	1912	1843	2.0987	51.5	5	99.66	bio58865	Lactobacillus fermentum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus gasseri ATCC 33323	PRJNA57687	1898	1755	1.8944	35.3	6	99.90	bio57687	Lactobacillus gasseri	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus helveticus DPC 4571	PRJNA58761	1838	1610	2.0809	37.1	4	99.84	bio58761	Lactobacillus helveticus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus helveticus H10	PRJNA49153	2148	1978	2.1724	36.8	4	99.78	bio49153	Lactobacillus helveticus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus johnsonii DPC 6026	PRJNA56053	1854	1772	1.9663	34.8	4	99.81	bio56053	Lactobacillus johnsonii	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus johnsonii FI9785	PRJNA41735	1807	1735	1.7851	34.4436	4	99.85	bio41735	Lactobacillus johnsonii	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus johnsonii NCC 533	PRJNA58029	1918	1821	1.9927	34.6	6	99.90	bio58029	Lactobacillus johnsonii	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus kefiranofaciens ZW3	PRJNA67985	2222	2162	2.3541	37.3604	4	99.81	bio67985	Lactobacillus kefiranofaciens	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus plantarum JDM1	PRJNA59361	3029	2948	3.1978	44.7	5	99.81	bio59361	Lactobacillus plantarum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus plantarum subsp. plantarum ST-III	PRJNA53537	3182	3038	3.3079	44.5045	5	99.59	bio53537	Lactobacillus plantarum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus plantarum WCFS1	PRJNA62911	3185	3057	3.3486	44.4501	5	99.75	bio62911	Lactobacillus plantarum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus reuteri DSM 20016	PRJNA58471	2027	1900	1.9996	38.9	6	99.42	bio58471	Lactobacillus reuteri	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus reuteri JCM 1112	PRJNA58875	1901	1820	2.0394	38.9	6	94.30	bio58875	Lactobacillus reuteri	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus reuteri SD2112	PRJNA55357	2425	2300	2.3168	39.0014	6	99.37	bio55357	Lactobacillus reuteri	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus rhamnosus ATCC 8530	PRJNA73355	2978	2887	2.9603	46.8	5	99.79	bio73355	Lactobacillus rhamnosus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus rhamnosus GG	PRJNA59313	2985	2913	3.0101	46.7	5	99.71	bio40637	Lactobacillus rhamnosus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus rhamnosus GG	PRJDA40637	2905	2834	3.0051	46.7	5	99.71	bio59313	Lactobacillus rhamnosus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus rhamnosus Lc 705	PRJNA59315	3033	2957	3.0331	46.6319	5	99.73	bio59315	Lactobacillus rhamnosus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus ruminis ATCC 27782	PRJNA73417	2054	1862	2.0667	43.5	6	99.62	bio73417	Lactobacillus ruminis	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus sakei subsp. sakei 23K	PRJNA58281	1963	1879	1.8847	41.3	7	99.61	bio58281	Lactobacillus sakei	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus salivarius CECT 5713	PRJNA43535	1674	1552	2.1361	33.0072	7	99.69	bio43535	Lactobacillus salivarius	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus salivarius UCC118	PRJNA58233	2182	2013	2.1340	33.0066	7	99.68	bio58233	Lactobacillus salivarius	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactobacillus sanfranciscensis TMW 1.1304	PRJNA72937	1519	1284	1.3758	34.8429	7	99.56	bio72937	Lactobacillus sanfranciscensis	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	
Lactococcus garvieae ATCC 49156	PRJNA73413	2024	1947	1.9501	38.8	5	100.00	bio73413	Lactococcus garvieae	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	
Lactococcus garvieae Lg2	PRJDA18707	2045	1968	1.9640	38.8	5	100.00	bio18707	Lactococcus garvieae	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	
Lactococcus lactis subsp. cremoris A76	PRJNA74685	2845	2769	2.5771	35.8771	6	99.74	bio74685	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	
Lactococcus lactis subsp. cremoris MG1363	PRJNA58837	2597	2434	2.5295	35.7	6	99.89	bio58837	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	
Lactococcus lactis subsp. cremoris NZ9000	PRJNA46623	2594	2510	2.5303	35.7	6	99.89	bio46623	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	
Lactococcus lactis subsp. cremoris SK11	PRJNA57983	2742	2504	2.5984	35.8242	6	99.72	bio57983	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	
Lactococcus lactis subsp. lactis CV56	PRJNA60377	2549	2408	2.5187	35.0942	6	99.87	bio60377	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	
Lactococcus lactis subsp. lactis Il1403	PRJNA57671	2425	2321	2.3656	35.3	6	99.87	bio57671	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	
Lactococcus lactis subsp. lactis KF147	PRJNA42831	2662	2473	2.6357	34.8644	6	99.89	bio42831	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	
Laribacter hongkongensis HLHK9	PRJNA59265	3333	3235	3.1693	62.4	7	99.91	bio59265	Laribacter hongkongensis	Laribacter	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	
Lawsonia intracellularis PHE/MN1-00	PRJNA61575	1391	1340	1.7190	33.0922	2	99.68	bio61575	Lawsonia intracellularis	Lawsonia	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	
Leadbetterella byssophila DSM 17132	PRJNA60161	3665	3465	4.0597	40.4	3	99.78	bio60161	Leadbetterella byssophila	Leadbetterella	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	
Legionella longbeachae NSW150	PRJNA46099	3739	3470	4.1492	37.119	4	99.76	bio46099	Legionella longbeachae	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	
Legionella pneumophila 2300/99 Alcoy	PRJNA48801	3243	3190	3.5163	38.4	3	99.70	bio48801	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	
Legionella pneumophila str. Corby	PRJNA58733	3257	3204	3.5765	38.5	3	99.79	bio58733	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	
Legionella pneumophila str. Lens	PRJNA58209	3058	2934	3.4055	38.4	3	99.70	bio58209	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	
Legionella pneumophila str. Paris	PRJNA58211	3278	3166	3.6355	38.3637	3	99.70	bio58211	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	
Legionella pneumophila subsp. pneumophila ATCC 43290	PRJNA86885	2981	2926	3.3590	38.2	3	99.79	bio86885	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	
Legionella pneumophila subsp. pneumophila str. Hextuple_2q	PRJNA72895	-	-	2.6826	38.6	3	99.66	bio72895	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	
Legionella pneumophila subsp. pneumophila str. Hextuple_3a	PRJNA72897	-	-	2.6826	38.6	3	99.70	bio72897	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	
Legionella pneumophila subsp. pneumophila str. Philadelphia 1	PRJNA57609	3003	2943	3.3978	38.3	3	99.70	bio57609	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	
Leifsonia xyli subsp. xyli str. CTCB07	PRJNA57759	2375	2030	2.5842	67.7	1	n.d.	bio57759	Leifsonia xyli	Leifsonia	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)'	PRJNA58511	3675	3600	3.9561	38.9019	2	100.00	bio58511	Leptospira biflexa	Leptospira	Leptospiraceae	Spirochaetales	Spirochaetia	Spirochaetes	
Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	PRJNA58993	3775	3726	3.9515	38.9018	2	99.93	bio58993	Leptospira biflexa	Leptospira	Leptospiraceae	Spirochaetales	Spirochaetia	Spirochaetes	
Leptospira borgpetersenii serovar Hardjo-bovis JB197	PRJNA58509	3242	2880	3.8762	40.2155	2	100.00	bio58509	Leptospira borgpetersenii	Leptospira	Leptospiraceae	Spirochaetales	Spirochaetia	Spirochaetes	
Leptospira borgpetersenii serovar Hardjo-bovis L550	PRJNA58507	3273	2945	3.9318	40.2	2	99.54	bio58507	Leptospira borgpetersenii	Leptospira	Leptospiraceae	Spirochaetales	Spirochaetia	Spirochaetes	
Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	PRJNA58065	3762	3667	4.6274	35	2	99.93	bio58065	Leptospira interrogans	Leptospira	Leptospiraceae	Spirochaetales	Spirochaetia	Spirochaetes	
Leptospira interrogans serovar Lai str. 56601	PRJNA57881	3750	3702	4.6981	35.0076	2	100.00	bio57881	Leptospira interrogans	Leptospira	Leptospiraceae	Spirochaetales	Spirochaetia	Spirochaetes	
Leptospira interrogans serovar Lai str. IPAV	PRJNA32553	3762	3714	4.7085	35.0076	2	100.00	bio32553	Leptospira interrogans	Leptospira	Leptospiraceae	Spirochaetales	Spirochaetia	Spirochaetes	
Leptospirillum ferrooxidans C2-3	PRJNA158171	2477	2417	2.5595	50	3	99.92	bio15817	Leptospirillum ferrooxidans	Leptospirillum	Nitrospiraceae	Nitrospirales	Nitrospira	Nitrospirae	
Leptothrix cholodnii SP-6	PRJNA58971	4443	4363	4.9094	68.9	2	100.00	bio58971	Leptothrix cholodnii	Leptothrix	other Burkholderiales	Burkholderiales	Betaproteobacteria	Proteobacteria	
Leptotrichia buccalis C-1013-b	PRJNA59211	2370	2220	2.4656	29.6	5	99.19	bio59211	Leptotrichia buccalis	Leptotrichia	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	
Leuconostoc citreum KM20	PRJNA58481	1903	1820	1.8966	38.8804	4	99.79	bio58481	Leuconostoc citreum	Leuconostoc	Leuconostocaceae	Lactobacillales	Bacilli	Firmicutes	
Leuconostoc gasicomitatum LMG 18811	PRJNA50385	1993	1912	1.9541	36.7	4	99.97	bio50385	Leuconostoc gasicomitatum	Leuconostoc	Leuconostocaceae	Lactobacillales	Bacilli	Firmicutes	
Leuconostoc kimchii IMSNU 11154	PRJNA48589	2209	2129	2.1018	37.9101	4	99.84	bio48589	Leuconostoc kimchii	Leuconostoc	Leuconostocaceae	Lactobacillales	Bacilli	Firmicutes	
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	PRJNA57919	2108	2005	2.0758	37.6586	4	99.79	bio57919	Leuconostoc mesenteroides	Leuconostoc	Leuconostocaceae	Lactobacillales	Bacilli	Firmicutes	
Leuconostoc mesenteroides subsp. mesenteroides J18	PRJNA84337	2020	1937	2.0164	37.6818	4	99.79	bio84337	Leuconostoc mesenteroides	Leuconostoc	Leuconostocaceae	Lactobacillales	Bacilli	Firmicutes	
Listeria innocua Clip11262	PRJNA61567	3145	3043	3.0931	37.3497	6	99.74	bio61567	Listeria innocua	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	
Listeria ivanovii	PRJNA73473	2889	2650	2.9289	37.1	6	99.74	bio73473	Listeria ivanovii	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	
Listeria monocytogenes 07PF0776	PRJNA78811	2882	2797	2.9016	38	6	99.76	bio78811	Listeria monocytogenes	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	
Listeria monocytogenes 08-5578	PRJNA43671	3161	3088	3.1093	37.9653	5	99.70	bio43671	Listeria monocytogenes	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	
Listeria monocytogenes 08-5923	PRJNA43727	3039	2966	2.9991	38	5	99.77	bio43727	Listeria monocytogenes	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	
Listeria monocytogenes EGD-e	PRJNA61583	2940	2846	2.9445	38	6	99.66	bio61583	Listeria monocytogenes	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	
Listeria monocytogenes HCC23	PRJNA59203	3059	2974	2.9762	38.2	6	99.79	bio59203	Listeria monocytogenes	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	
Listeria monocytogenes M7	PRJNA66625	3062	2977	2.9762	38.2	6	99.79	bio66625	Listeria monocytogenes	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	
Listeria monocytogenes serotype 4a str. L99	PRJEA31327	3010	2925	2.9792	38.2	6	99.81	bio31327	Listeria monocytogenes	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	
Listeria monocytogenes serotype 4b str. CLIP 80459	PRJNA59317	2972	2766	2.9127	38.1	6	99.83	bio59317	Listeria monocytogenes	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	
Listeria monocytogenes serotype 4b str. F2365	PRJNA57689	2934	2821	2.9052	38	6	99.76	bio57689	Listeria monocytogenes	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	
Listeria monocytogenes str. Scott A	PRJNA66415	3038	2953	3.0213	37.9	6	99.79	bio66415	Listeria monocytogenes	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	
Listeria seeligeri serovar 1/2b str. SLCC3954	PRJNA46215	2807	2710	2.7976	37.4	6	99.75	bio46215	Listeria seeligeri	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	
Listeria welshimeri serovar 6b str. SLCC5334	PRJNA61605	2864	2774	2.8141	36.4	6	99.81	bio61605	Listeria welshimeri	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	
Lysinibacillus sphaericus C3-41	PRJNA58945	4972	4771	4.8175	37.1451	10	99.62	bio58945	Lysinibacillus sphaericus	Lysinibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Macrococcus caseolyticus JCSC5402	PRJNA59003	2114	2053	2.2197	36.5846	4	99.84	bio59003	Macrococcus caseolyticus	Macrococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	
Magnetospirillum magneticum AMB-1	PRJNA58527	4613	4561	4.9672	65.1	2	100.00	bio58527	Magnetospirillum magneticum	Magnetospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	
Mahella australiensis 50-1 BON	PRJNA66917	3032	2870	3.1360	43.5	3	99.65	bio66917	Mahella australiensis	Mahella	Thermoanaerobacterales Family IV. Incertae Sedis	Thermoanaerobacterales	Clostridia	Firmicutes	
Mannheimia succiniciproducens MBEL55E	PRJNA58197	2449	2370	2.3141	42.5	6	99.70	bio58197	Mannheimia succiniciproducens	Mannheimia	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	
Maricaulis maris MCS10	PRJNA58689	3133	3063	3.3688	62.7	2	99.66	bio58689	Maricaulis maris	Maricaulis	Hyphomonadaceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	
Marinithermus hydrothermalis DSM 14884	PRJNA65783	2310	2205	2.2692	68.1	3	99.78	bio65783	Marinithermus hydrothermalis	Marinithermus	Thermaceae	Thermales	Deinococci	Deinococcus-Thermus	
Marinitoga piezophila KA3	PRJNA81629	2131	2046	2.2448	29.1839	3	99.79	bio81629	Marinitoga piezophila	Marinitoga	Thermotogaceae	Thermotogales	Thermotogae	Thermotogae	
Marinobacter adhaerens HP15	PRJNA46089	4470	4410	4.6517	56.8223	3	100.00	bio46089	Marinobacter adhaerens	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Marinobacter aquaeolei VT8	PRJNA59419	4390	4272	4.7798	56.9566	3	99.57	bio59419	Marinobacter aquaeolei	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Marinomonas mediterranea MMB-1	PRJNA64753	4330	4121	4.6843	44.1	7	99.77	bio64753	Marinomonas mediterranea	Marinomonas	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	
Marinomonas posidonica IVIA-Po-181	PRJNA67323	3652	3491	3.8999	44.3	8	99.79	bio67323	Marinomonas posidonica	Marinomonas	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	
Marivirga tractuosa DSM 4126	PRJNA60837	3857	3757	4.5165	35.5046	2	99.67	bio60837	Marivirga tractuosa	Marivirga	Flammeovirgaceae	Cytophagales	Cytophagia	Bacteroidetes	
Megasphaera elsdenii	PRJNA71135	2304	2219	2.4747	52.8	7	99.82	bio71135	Megasphaera elsdenii	Megasphaera	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes	
Meiothermus ruber DSM 1279	PRJNA46661	3105	3014	3.0975	63.4	2	99.67	bio46661	Meiothermus ruber	Meiothermus	Thermaceae	Thermales	Deinococci	Deinococcus-Thermus	
Meiothermus silvanus DSM 9946	PRJNA49485	3720	3505	3.7217	62.7494	2	99.67	bio49485	Meiothermus silvanus	Meiothermus	Thermaceae	Thermales	Deinococci	Deinococcus-Thermus	
Melissococcus plutonius	PRJNA89371	1638	1515	1.8462	31.4	4	99.79	bio89371	Melissococcus plutonius	Melissococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	
Melissococcus plutonius ATCC 35311	PRJNA66803	1997	1885	2.0687	31.211	4	99.79	bio66803	Melissococcus plutonius	Melissococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	
Mesoplasma florum L1	PRJNA58055	717	682	0.7932	27	2	99.67	bio58055	Mesoplasma florum	Mesoplasma	Entomoplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	
Mesorhizobium ciceri biovar biserrulae WSM1271	PRJNA62101	6532	6264	6.6900	62.5728	2	99.93	bio62101	Mesorhizobium ciceri	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Mesorhizobium loti MAFF303099	PRJNA57601	7333	7272	7.5963	62.4657	2	100.00	bio57601	Mesorhizobium loti	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Mesorhizobium opportunistum WSM2075	PRJNA40861	6746	6508	6.8844	62.9	2	100.00	bio40861	Mesorhizobium opportunistum	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Methylacidiphilum infernorum V4	PRJNA59161	2524	2472	2.2872	45.5	1	n.d.	bio59161	Methylacidiphilum infernorum	Methylacidiphilum	Methylacidiphilaceae	Methylacidiphilales	other Verrucomicrobia	Verrucomicrobia	
Methylibium petroleiphilum PM1	PRJNA58085	4546	4449	4.6436	68.7869	1	n.d.	bio58085	Methylibium petroleiphilum	Methylibium	other Burkholderiales	Burkholderiales	Betaproteobacteria	Proteobacteria	
Methylobacillus flagellatus KT	PRJNA58049	2822	2753	2.9715	55.7	2	99.68	bio58049	Methylobacillus flagellatus	Methylobacillus	Methylophilaceae	Methylophilales	Betaproteobacteria	Proteobacteria	
Methylobacterium extorquens AM1	PRJNA57605	6345	6212	6.8798	68.4674	5	100.00	bio57605	Methylobacterium extorquens	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Methylobacterium extorquens DM4	PRJNA61617	6030	5736	6.1239	68.0076	5	100.00	bio61617	Methylobacterium extorquens	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Methylobacterium extorquens PA1	PRJNA58821	4956	4829	5.4712	68.2	5	100.00	bio58821	Methylobacterium extorquens	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Methylobacterium chloromethanicum CM4	PRJNA58933	5853	5516	6.1807	68.0674	5	100.00	bio58933	Methylobacterium chloromethanicum	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Methylobacterium nodulans ORS 2060	PRJNA59023	8906	8308	8.8390	68.485	7	99.91	bio59023	Methylobacterium nodulans	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Methylobacterium populi BJ001	PRJNA58937	5546	5365	5.8490	69.3702	5	99.95	bio58937	Methylobacterium populi	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Methylobacterium radiotolerans JCM 2831	PRJNA58845	6626	6431	6.8991	71.0375	4	99.64	bio58845	Methylobacterium radiotolerans	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Methylocella silvestris BL2	PRJNA59433	3977	3818	4.3054	63.1	2	100.00	bio59433	Methylocella silvestris	Methylocella	Beijerinckiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Methylococcus capsulatus str. Bath	PRJNA57607	3052	2956	3.3046	63.6	2	99.67	bio57607	Methylococcus capsulatus	Methylococcus	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	
Methylomicrobium alcaliphilum	PRJNA77119	4082	3981	4.6683	48.7	3	99.66	bio77119	Methylomicrobium alcaliphilum	Methylomicrobium	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	
Methylomonas methanica MC09	PRJNA67363	4664	4494	5.0517	51.3	3	100.00	bio67363	Methylomonas methanica	Methylomonas	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	
Methylotenera mobilis JLW8	PRJNA59373	2403	2338	2.5476	45.5	2	100.00	bio59373	Methylotenera mobilis	Methylotenera	Methylophilaceae	Methylophilales	Betaproteobacteria	Proteobacteria	
Methylotenera versatilis 301	PRJNA49469	2858	2764	3.0599	42.6	3	100.00	bio49469	Methylotenera versatilis	Methylotenera	Methylophilaceae	Methylophilales	Betaproteobacteria	Proteobacteria	
Methylovorus glucosetrophus SIP3-4	PRJNA59367	2978	2909	3.0820	54.6472	2	100.00	bio59367	Methylovorus glucosetrophus	Methylovorus	Methylophilaceae	Methylophilales	Betaproteobacteria	Proteobacteria	
Micavibrio aeruginosavorus ARL-13	PRJNA73585	2476	2432	2.4820	54.7	1	n.d.	bio73585	Micavibrio aeruginosavorus	Micavibrio	other Alphaproteobacteria	other Alphaproteobacteria	Alphaproteobacteria	Proteobacteria	
Microbacterium testaceum StLB037	PRJNA62789	3727	3676	3.9820	70.3	2	99.61	bio62789	Microbacterium testaceum	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Micrococcus luteus NCTC 2665	PRJNA59033	2345	2236	2.5011	73	1	n.d.	bio59033	Micrococcus luteus	Micrococcus	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Microcystis aeruginosa NIES-843	PRJNA59101	6364	6312	5.8428	42.3	2	99.39	bio59101	Microcystis aeruginosa	Microcystis	other Chroococcales	Chroococcales	other Cyanobacteria	Cyanobacteria	
